TopikSengketa;PasalDetil;Pasal;Keterangan
Penghitungan Pajak;pasal 9 ayat (9a);Pasal 9;Pengkreditan Pajak Masukan sebelum PKP
Penghitungan Pajak;pasal 9 ayat (9b);Pasal 9;Pengkreditan Pajak Masukan saat pemeriksaan
Penghitungan Pajak;pasal 9 ayat (9c);Pasal 9;Pengkreditan dari pembayaran ketetapan pajak
Penghitungan Pajak;pasal 9 ayat (14);Pasal 9;Pengkreditan Pajak Masukan dari penggabungan, peleburan, pemekaran, pemecahan, dan pengambilalihan usaha 
Penghitungan Pajak;pasal 9a;Pasal 9a;Pemungutan PPN dengan besaran tertentu
Penghitungan Pajak;pasal 9a ayat (1);Pasal 9a;Pemungutan PPN dengan besaran tertentu
Penghitungan Pajak;pasal 9a ayat (2);Pasal 9a;PPN dengan besaran tertentu tidak dapat dikreditkan
Penghitungan Pajak;pasal 10;Pasal 10;Penghitungan PPnBM
Penghitungan Pajak;pasal 10 ayat (1);Pasal 10;Penghitungan PPnBM dari Dasar Pengenaan Pajak (DPP)
Penghitungan Pajak;pasal 10 ayat (2);Pasal 10;PPnBM tidak dapat dikreditkan
Penghitungan Pajak;pasal 10 ayat (3);Pasal 10;Pengembalian PPnBM
Saat dan Tempat Terutang;pasal 11;Pasal 11;Saat terutang pajak
Saat dan Tempat Terutang;pasal 11 ayat (1);Pasal 11;Saat terutang pajak
Saat dan Tempat Terutang;pasal 11 ayat (2);Pasal 11;Pembayaran sebelum penyerahan BKP/JKP
Saat dan Tempat Terutang;pasal 11 ayat (4);Pasal 11;Saat lain terutangnya pajak
Saat dan Tempat Terutang;pasal 12;Pasal 12;Tempat terutang pajak
Saat dan Tempat Terutang;pasal 12 ayat (1);Pasal 12;Tempat terutang pajak
Saat dan Tempat Terutang;pasal 12 ayat (2);Pasal 12;Penetapan tempat terutang pajak
Saat dan Tempat Terutang;pasal 12 ayat (3);Pasal 12;Tempat terutangnya pajak atas impor
Saat dan Tempat Terutang;pasal 12 ayat (4);Pasal 12;Tempat terutangnya pajak atas BKP/JKP dari luar daerah pabean
Saat dan Tempat Terutang;pasal 13;Pasal 13;Kewajiban PKP membuat Faktur Pajak
Saat dan Tempat Terutang;pasal 13 ayat (1);Pasal 13;Kewajiban PKP membuat Faktur Pajak
Saat dan Tempat Terutang;pasal 13 ayat (1a);Pasal 13;Saat pembuatan Faktur Pajak
Saat dan Tempat Terutang;pasal 13 ayat (2);Pasal 13;Faktur pajak penyerahan pada pembeli yang sama
Saat dan Tempat Terutang;pasal 13 ayat (2a);Pasal 13;Batas waktu pembuatan Faktur pajak penyerahan pada pembeli yang sama
Saat dan Tempat Terutang;pasal 13 ayat (5);Pasal 13;Kelengkapan Formal Faktur Pajak standar
Saat dan Tempat Terutang;pasal 13 ayat (5a);Pasal 13;Faktur Pajak oleh pedagang eceran
Saat dan Tempat Terutang;pasal 13 ayat (6);Pasal 13;Dokumen dipersamakan Faktur Pajak
Saat dan Tempat Terutang;pasal 13 ayat (8);Pasal 13;Pembetulan atau penggantian Faktur Pajak
Saat dan Tempat Terutang;pasal 13 ayat (6);Pasal 13;Pemenuhan formal dan material Faktur Pajak
Saat dan Tempat Terutang;pasal 14;Pasal 14;Selain PKP dilarang membuat Faktur Pajak
Saat dan Tempat Terutang;pasal 14 ayat (1);Pasal 14;Selain PKP dilarang membuat Faktur Pajak
Saat dan Tempat Terutang;pasal 14 ayat (2);Pasal 14;Penyetoran atas Faktur Pajak diterbitkan oleh bukan PKP
Saat dan Tempat Terutang;pasal 15a;Pasal 15a;Batas waktu penyetoran dan pelaporan PPN
Ketentuan Khusus;pasal 16a;Pasal 16a;Pemungutan, penyetoran dan pelaporan transaksi kepada Pemungut
Ketentuan Khusus;pasal 16a ayat (1);Pasal 16a;Pajak terutang oleh transaksi kepada Pemungut
Ketentuan Khusus;pasal 16b;Pasal 16b;Faktur atas transaksi yang mendapatkan fasilitas untuk tidak dipungut PPN nya sebagian atau seluruhnya tidak bisa digunakan sebagai kredit pajak
Ketentuan Khusus;pasal 16b ayat (1);Pasal 16b;Transaksi yang pajak terutang nya tidak dipungut atau dibebaskan
Ketentuan Khusus;pasal 16b ayat (2);Pasal 16b;Pengkreditan atas pembayaran pajak masukan atas penyerahan yang seharusnya tidak dipungut
Ketentuan Khusus;pasal 16b ayat (3);Pasal 16b;Pembayaran pajak masukan atas penyerahan yang dibebaskan tidak dapat dikreditkan
Ketentuan Khusus;pasal 16c;Pasal 16c;PPN atas Kegiatan Membangun Sendiri
Ketentuan Khusus;pasal 16d;Pasal 16d;PPN atas penyerahan aktiva yang semula tidak untuk diperjualbelikan
Ketentuan Khusus;pasal 16f;Pasal 16f;Tanggung jawab secara renteng pembeli atau penerima jasa
Ketentuan Khusus;pasal 16e;Pasal 16e;PPN dan PPnBM atas barang yang dibawa ke luar daerah pabean oleh orang pribadi luar negeri

